source_line,opcode_hex,bytes,cycles,mnemonic,address_mode_key
25015,00,1,7,BRK,imp
25018,01,2,6rp,ORA,bpiX
25021,02,1,1,CLE,imp
25024,03,1,1,SEE,imp
25027,04,2,3r,TSB,bp
25030,05,2,3r,ORA,bpQ
25033,06,2,4r,ASL,bpQ
25040,10,2,2b,BPL,rel
25043,11,2,5rp,ORA,ibpY
25046,12,2,5rp,ORA,ibpZQ
25049,13,3,3b,BPL,relfar
25052,14,2,5r,TRB,bp
25055,15,2,3r,ORA,bpX
25058,16,2,4r,ASL,bpXQ
25065,20,3,5s,JSR,abs
25068,21,2,5rp,AND,bpiX
25071,22,3,5r,JSR,ind
25074,23,3,5rp,JSR,indX
25077,24,2,3r,BIT,bpQ
25080,25,2,3r,AND,bpQ
25083,26,2,4r,ROL,bpQ
25090,30,2,2r,BMI,rel
25093,31,2,5rp,AND,ibpY
25096,32,2,5rp,AND,ibpZQ
25099,33,3,3b,BMI,relfar
25102,34,2,3rp,BIT,bpX
25105,35,2,4rp,AND,bpX
25108,36,2,5rp,ROL,bpXQ
25115,40,1,6m,RTI,imp
25118,41,2,5r,EOR,bpiX
25121,42,1,1,NEG,acc
25124,43,1,1,ASR,accQ
25127,44,2,4r,ASR,bpQ
25130,45,2,3r,EOR,bpQ
25133,46,2,4r,LSR,bpQ
25140,50,2,2b,BVC,rel
25143,51,2,5rp,EOR,ibpY
25146,52,2,5rp,EOR,ibpZQ
25149,53,3,3b,BVC,relfar
25152,54,2,5rp,ASR,bpXQ
25155,55,2,3p,EOR,bpX
25158,56,2,3rp,LSR,bpXQ
25165,60,1,6m,RTS,imp
25168,61,2,5r,ADC,bpiX
25171,62,2,4,RTS,imm
25174,63,3,3b,BSR,relfar
25177,64,2,3,STZ,bp
25180,65,2,3r,ADC,bpQ
25183,66,2,5r,ROR,bpQ
25190,70,2,2b,BVS,rel
25193,71,2,5rp,ADC,ibpY
25196,72,2,5rp,ADC,ibpZQ
25199,73,3,3b,BVS,relfar
25202,74,2,3,STZ,bpX
25205,75,2,3r,ADC,bpX
25208,76,2,5rmdp,ROR,bpXQ
25215,80,2,2b,BRA,rel
25218,81,2,5p,STA,bpiX
25221,82,2,6p,STA,ispY
25224,83,3,3b,BRA,relfar
25227,84,2,3,STY,bp
25230,85,2,3,STA,bpQ
25233,86,2,3,STX,bp
25240,90,2,2b,BCC,rel
25243,91,2,5p,STA,ibpY
25246,92,2,5p,STA,ibpZQ
25249,93,3,3b,BCC,relfar
25252,94,2,3p,STY,bpX
